City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
695,Rach Gia,VN,82.26,Rain,10.0167,105.0833,Nhà Hàng Hòa Giang
696,Cap Malheureux,MU,70.47,Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
697,Los Llanos De Aridane,ES,66.13,Clouds,28.6585,-17.9182,Valle Aridane
698,Avera,US,65.71,Clear,33.194,-82.5271,
701,Acarau,BR,78.15,Clouds,-2.8856,-40.12,castelo pizzaria
702,Chisec,GT,71.06,Clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
703,Houma,US,79.0,Clear,29.5958,-90.7195,Courtyard by Marriott Houma
704,Padang,ID,84.25,Clouds,-0.9492,100.3543,Mercure Padang
706,Mitsamiouli,KM,74.84,Clouds,-11.3847,43.2844,Foyer ADM
709,Liaoyang,CN,75.52,Clear,41.2719,123.1731,Jinjiang Inn Style Liaoyang Xiangyu Avenue
710,Massakory,TD,79.23,Rain,12.996,15.7293,Chabakari - Am Doukhan
711,Tevaitoa,PF,78.22,Clear,-16.7833,-151.5,Hôtel Raiatea Lodge
712,Yamaga,JP,73.58,Rain,33.0167,130.6833,Seiryuso - Yamaga Onsen
