City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Malartic,CA,2022-09-22 01:31:54,48.1335,-78.1328,56.01,96,6,6.31
233,Hilton Head Island,US,2022-09-22 01:30:58,32.2163,-80.7526,81.99,84,0,3.44
234,Oravita,RO,2022-09-22 01:31:54,45.0325,21.6894,43.07,91,12,1.12
235,Mahibadhoo,MV,2022-09-22 01:31:54,3.7833,72.9667,81.72,72,53,6.96
236,Buala,SB,2022-09-22 01:31:55,-8.145,159.5921,81.72,73,85,3.49
237,Wuwei,CN,2022-09-22 01:31:55,37.9281,102.6414,64.47,26,6,2.57
238,Kawalu,ID,2022-09-22 01:31:55,-7.3817,108.2082,75.67,89,100,3.15
239,Sao Joao Da Barra,BR,2022-09-22 01:31:56,-21.6403,-41.0511,70.34,93,92,7.34
240,Ahipara,NZ,2022-09-22 01:31:56,-35.1667,173.1667,61.41,70,13,6.33
241,Djougou,BJ,2022-09-22 01:31:56,9.7085,1.666,69.3,97,48,3.56
242,Viedma,AR,2022-09-22 01:31:57,-40.8135,-62.9967,44.92,84,100,8.14
243,Tuktoyaktuk,CA,2022-09-22 01:31:57,69.4541,-133.0374,39.2,93,75,10.36
244,Nhulunbuy,AU,2022-09-22 01:31:58,-12.2333,136.7667,90.21,51,36,13.8
245,Saldanha,ZA,2022-09-22 01:31:58,-33.0117,17.9442,54.81,83,10,5.84
246,Zachary,US,2022-09-22 01:27:04,30.6485,-91.1565,85.75,80,0,3.44
247,Hami,CN,2022-09-22 01:31:58,42.8,93.45,74.57,11,0,8.99
248,Kropotkin,RU,2022-09-22 01:30:11,45.4375,40.5756,59.04,60,100,4.68
249,Kutna Hora,CZ,2022-09-22 01:31:59,49.9484,15.2682,48.06,100,0,5.01
250,Luocheng,CN,2022-09-22 01:31:59,29.3848,104.0286,66.04,97,100,2.51
251,George,ZA,2022-09-22 01:31:59,-33.963,22.4617,51.35,66,16,2.3
252,Vardo,NO,2022-09-22 01:32:00,70.3705,31.1107,46.69,89,100,12.37
253,Severo-Kurilsk,RU,2022-09-22 01:32:00,50.6789,156.125,52.75,65,1,16.33
254,Miles City,US,2022-09-22 01:32:00,46.4083,-105.8406,61.77,29,0,10.36
255,Namibe,AO,2022-09-22 01:27:14,-15.1961,12.1522,66.61,88,89,4.34
256,Vestmannaeyjar,IS,2022-09-22 01:32:01,63.4427,-20.2734,50.36,82,100,4.65
257,Provideniya,RU,2022-09-22 01:32:01,64.3833,-173.3,46.51,93,75,18.01
258,Kununurra,AU,2022-09-22 01:32:02,-15.7667,128.7333,89.58,43,75,6.91
259,Boyolangu,ID,2022-09-22 01:32:02,-8.1181,111.8935,81.0,75,84,11.05
260,Arraial Do Cabo,BR,2022-09-22 01:32:03,-22.9661,-42.0278,68.09,97,100,3.49
261,Guhagar,IN,2022-09-22 01:32:03,17.4842,73.1929,76.8,85,56,3.4
262,Lamar,US,2022-09-22 01:32:04,33.6668,-95.5836,85.35,53,0,5.75
263,Caravelas,BR,2022-09-22 01:27:35,-17.7125,-39.2481,73.94,84,100,11.05
264,Upernavik,GL,2022-09-22 01:32:04,72.7868,-56.1549,30.67,80,45,5.7
265,Rio Cuarto,AR,2022-09-22 01:27:29,-33.1307,-64.3499,42.57,70,0,5.75
266,Yumen,CN,2022-09-22 01:32:05,40.2833,97.2,63.14,15,32,16.84
267,Talnakh,RU,2022-09-22 01:27:06,69.4865,88.3972,36.21,96,100,14.07
268,Khromtau,KZ,2022-09-22 01:32:05,50.2503,58.4347,58.75,18,0,5.95
269,Whitehorse,CA,2022-09-22 01:32:06,60.7161,-135.0538,60.03,55,75,24.16
270,Grand Gaube,MU,2022-09-22 01:28:24,-20.0064,57.6608,71.38,75,11,5.99
271,Aksarka,RU,2022-09-22 01:28:20,66.5606,67.7975,36.55,72,70,25.7
272,Palma Di Montechiaro,IT,2022-09-22 01:32:06,37.1926,13.765,69.31,75,47,8.03
273,Pipri,IN,2022-09-22 01:32:06,19.8,75.5333,70.79,91,100,8.3
274,Mulege,MX,2022-09-22 01:33:07,26.8833,-111.9833,85.53,69,12,3.65
275,Blagoyevo,RU,2022-09-22 01:33:07,63.3667,47.9167,35.8,96,10,2.33
276,Chernyshevskiy,RU,2022-09-22 01:33:07,63.0128,112.4714,30.38,59,100,4.27
277,Sungaipenuh,ID,2022-09-22 01:33:08,-2.0833,101.3833,64.83,90,99,1.32
278,Pevek,RU,2022-09-22 01:33:08,69.7008,170.3133,39.87,67,0,11.16
279,Eureka,US,2022-09-22 01:31:46,40.8021,-124.1637,63.36,83,98,2.08
280,Sudak,UA,2022-09-22 01:33:08,44.85,34.9667,54.23,72,7,8.05
281,Durban,ZA,2022-09-22 01:33:09,-29.8579,31.0292,59.02,88,0,1.01
